1000,-0.025918167413522798
1000,-0.025918167413522798
2000,-0.0572059242768834
3000,-0.052348937261849644
4000,-0.028907911038647094
5000,-0.029611719952275354
6000,-0.023231176907817522
7000,-0.019186853002756833
8000,-0.011755725250889857
9000,-0.005379276874785622
10000,-0.007108862809836865
1000,-0.025918167413522798
2000,-0.0572059242768834
3000,-0.052348937261849644
4000,-0.028907911038647094
5000,-0.029611719952275354
6000,-0.023231176907817522
7000,-0.019186853002756833
8000,-0.011755725250889857
9000,-0.005379276874785622
10000,-0.007108862809836865
1000,-0.025918167413522798
2000,-0.0572059242768834
3000,-0.052348937261849644
4000,-0.028907911038647094
5000,-0.029611719952275354
6000,-0.023231176907817522
7000,-0.019186853002756833
8000,-0.011755725250889857
9000,-0.005379276874785622
10000,-0.007108862809836865
1000,-0.025918202238778273
2000,-0.05657872417631249
3000,-0.04255075187422335
4000,-0.02513984922397261
5000,-0.0232085353632768
6000,-0.017589178656538328
7000,-0.01628901411468784
8000,-0.006858564460029205
9000,-0.005172831838329633
10000,-0.009829176949958007
