step,key,value
419,loss,0.08967401832342148
420,loss,0.451789528131485
421,loss,0.47784167528152466
422,loss,0.17767909169197083
423,loss,0.09193216264247894
424,loss,0.5686869025230408
425,loss,0.2191150039434433
426,loss,0.213119775056839
427,loss,0.09403333812952042
428,loss,0.15574781596660614
429,loss,0.18575307726860046
430,loss,0.14952239394187927
431,loss,0.30869466066360474
432,loss,0.2707846164703369
433,loss,0.06836742162704468
434,loss,0.0994371771812439
435,loss,0.4333283007144928
436,loss,0.22739200294017792
437,loss,0.10500798374414444
438,loss,0.0619862899184227
439,loss,0.19890627264976501
440,loss,0.154876247048378
441,loss,0.10521940886974335
442,loss,0.3147754967212677
443,loss,0.12796464562416077
444,loss,0.08690308779478073
445,loss,0.22454486787319183
446,loss,0.3727010190486908
447,loss,0.19429418444633484
448,loss,0.08003335446119308
449,loss,0.17841660976409912
450,loss,0.08574087917804718
451,loss,0.23533670604228973
452,loss,0.0858229249715805
453,loss,0.18302029371261597
454,loss,0.19162192940711975
455,loss,0.3395373523235321
456,loss,0.05173099413514137
457,loss,0.23298710584640503
458,loss,0.39391568303108215
459,loss,0.10455948114395142
460,loss,0.13893002271652222
461,loss,0.1875051110982895
462,loss,0.09705425053834915
463,loss,0.013861021026968956
464,loss,0.16389116644859314
465,loss,0.1748434156179428
466,loss,0.23710015416145325
467,loss,0.3830512762069702
468,loss,0.3729226291179657
469,loss,0.23040196299552917
470,loss,0.21462257206439972
471,loss,0.1033153384923935
472,loss,0.4154950976371765
473,loss,0.41782158613204956
474,loss,0.26745831966400146
475,loss,0.08534792810678482
476,loss,0.548768162727356
477,loss,0.1090245246887207
478,loss,0.045802898705005646
479,loss,0.11854493618011475
480,loss,0.019956782460212708
481,loss,0.0758875235915184
482,loss,0.3042117655277252
483,loss,0.1010681763291359
484,loss,0.2953040897846222
485,loss,0.37242233753204346
486,loss,0.113404281437397
487,loss,0.14272844791412354
488,loss,0.1924780309200287
489,loss,0.08108306676149368
490,loss,0.04425646364688873
491,loss,0.07135887444019318
492,loss,0.023689528927206993
493,loss,0.09322948753833771
494,loss,0.4060820937156677
495,loss,0.12764199078083038
496,loss,0.07766526192426682
497,loss,0.4123363196849823
498,loss,0.18818975985050201
499,loss,0.33624958992004395
500,loss,0.1677524596452713
501,loss,0.19825053215026855
502,loss,0.5346429347991943
503,loss,0.2112954556941986
504,loss,0.06804680079221725
505,loss,0.1361256241798401
506,loss,0.5390475988388062
507,loss,0.23971524834632874
508,loss,0.1646488755941391
509,loss,0.09957685321569443
510,loss,0.38468337059020996
511,loss,0.10171080380678177
512,loss,0.0802379846572876
513,loss,0.0370568111538887
514,loss,0.3493386209011078
515,loss,0.28445303440093994
516,loss,0.07889659702777863
517,loss,0.0850088894367218
518,loss,0.13024045526981354
519,loss,0.22173114120960236
520,loss,0.027669884264469147
521,loss,0.3749675452709198
522,loss,0.1789391040802002
523,loss,0.36173373460769653
524,loss,0.17505162954330444
525,loss,0.0922788679599762
526,loss,0.20645520091056824
527,loss,0.2951953411102295
528,loss,0.1948223114013672
529,loss,0.11773385107517242
530,loss,0.19231438636779785
531,loss,0.20826959609985352
532,loss,0.14752940833568573
533,loss,0.23874177038669586
534,loss,0.747085452079773
535,loss,0.1507129967212677
536,loss,0.12415254861116409
537,loss,0.1748393177986145
538,loss,0.323744535446167
539,loss,0.13267457485198975
540,loss,0.10546999424695969
541,loss,0.1187218502163887
542,loss,1.0250415802001953
543,loss,0.13417544960975647
544,loss,0.23652002215385437
545,loss,0.23872843384742737
546,loss,0.8250032067298889
547,loss,0.09944640100002289
548,loss,0.24974867701530457
549,loss,0.32485899329185486
550,loss,1.3562959432601929
551,loss,0.1228211522102356
552,loss,0.525838315486908
553,loss,0.14908349514007568
554,loss,0.19939830899238586
555,loss,0.1262553334236145
556,loss,0.18352937698364258
557,loss,0.07226624339818954
558,loss,0.21395762264728546
559,loss,0.18406803905963898
560,loss,0.09061895310878754
561,loss,0.20249101519584656
562,loss,0.1801905781030655
563,loss,0.07153548300266266
564,loss,0.15296420454978943
565,loss,0.33015677332878113
566,loss,0.08780145645141602
567,loss,0.2729257047176361
568,loss,0.302345335483551
569,loss,0.3451876938343048
570,loss,0.14254961907863617
571,loss,0.1413344442844391
572,loss,0.18549972772598267
573,loss,0.653431236743927
574,loss,0.1230081170797348
575,loss,0.5136504173278809
576,loss,0.26892030239105225
577,loss,0.2818271219730377
578,loss,0.891200065612793
579,loss,0.11500689387321472
580,loss,0.3495972156524658
581,loss,0.1927744746208191
582,loss,0.13744835555553436
583,loss,0.08980309218168259
584,loss,0.14532899856567383
585,loss,0.6434951424598694
586,loss,0.29667016863822937
587,loss,0.21508771181106567
588,loss,0.2139762043952942
589,loss,0.1513613760471344
590,loss,0.7117970585823059
591,loss,0.09488607943058014
592,loss,0.20165614783763885
593,loss,0.3502845764160156
594,loss,0.38206321001052856
595,loss,0.2768900394439697
596,loss,0.09516169130802155
597,loss,0.45373448729515076
598,loss,0.17568734288215637
599,loss,0.16565756499767303
600,loss,0.18447352945804596
601,loss,0.43435150384902954
602,loss,0.14378169178962708
603,loss,0.04755498096346855
604,loss,0.15812474489212036
605,loss,0.3275946080684662
606,loss,0.2442636489868164
607,loss,0.22637328505516052
608,loss,0.10609496384859085
609,loss,0.18148104846477509
610,loss,0.08910326659679413
611,loss,0.6754345297813416
612,loss,0.08418036997318268
613,loss,0.20999321341514587
614,loss,0.2637977600097656
615,loss,0.04373384267091751
616,loss,0.09370739758014679
617,loss,0.06043941527605057
618,loss,0.26812005043029785
619,loss,0.32451674342155457
620,loss,0.13695691525936127
621,loss,0.26240643858909607
622,loss,0.20712551474571228
623,loss,0.12634022533893585
624,loss,0.21406543254852295
