global_step,frames,epoch,loss,loss_objective,loss_critic,loss_entropy,lr,reward,step_count
1,0,0,31.751596450805664,-0.053353678435087204,31.80501937866211,-6.787681195419282e-05,0.0003,,
2,0,0,32.8239631652832,-0.14569789171218872,32.9697265625,-6.501971802208573e-05,0.0003,,
3,0,0,30.57108497619629,-0.03316621482372284,30.60431671142578,-6.486141501227394e-05,0.0003,,
4,0,0,29.756195068359375,0.0018822699785232544,29.754375457763672,-6.303861300693825e-05,0.0003,,
5,0,0,29.457185745239258,0.05507653206586838,29.402162551879883,-5.3028907132102177e-05,0.0003,,
6,0,0,29.807079315185547,-0.014535279013216496,29.821672439575195,-5.7971032219938934e-05,0.0003,,
7,0,0,31.985774993896484,-0.06787635385990143,32.05370330810547,-5.144676470081322e-05,0.0003,,
8,0,0,29.001115798950195,0.12178197503089905,28.879390716552734,-5.632871761918068e-05,0.0003,,
9,0,0,28.27028465270996,0.07850095629692078,28.191844940185547,-6.089506496209651e-05,0.0003,,
10,0,0,29.40487289428711,0.03312999755144119,29.371797561645508,-5.580745346378535e-05,0.0003,,
11,0,0,31.718473434448242,-0.05043068900704384,31.768970489501953,-6.681872764602304e-05,0.0003,,
12,0,0,27.35605812072754,0.1689233034849167,27.18718719482422,-5.2030838560312986e-05,0.0003,,
13,0,0,28.60582733154297,0.07487129420042038,28.53101348876953,-5.6272896472364664e-05,0.0003,,
14,0,0,28.241924285888672,0.17974723875522614,28.062225341796875,-4.75709603051655e-05,0.0003,,
15,0,0,28.702526092529297,0.059397488832473755,28.6431827545166,-5.345886165741831e-05,0.0003,,
16,0,1,28.81155014038086,-0.052835628390312195,28.864437103271484,-5.1175735279684886e-05,0.0003,,
17,0,1,29.816162109375,-0.06254801154136658,29.878765106201172,-5.4518321121577173e-05,0.0003,,
18,0,1,28.351154327392578,0.008076436817646027,28.34312629699707,-4.805027128895745e-05,0.0003,,
19,0,1,29.225719451904297,0.051483605057001114,29.174297332763672,-6.0427399148466066e-05,0.0003,,
20,0,1,26.705276489257812,0.11099757254123688,26.594341278076172,-6.37796038063243e-05,0.0003,,
21,0,1,27.996299743652344,0.11521178483963013,27.881145477294922,-5.7267472584499046e-05,0.0003,,
22,0,1,29.239187240600586,-0.050105977803468704,29.289356231689453,-6.37603661743924e-05,0.0003,,
23,0,1,24.846614837646484,0.20598670840263367,24.64068031311035,-5.2336734370328486e-05,0.0003,,
24,0,1,31.661699295043945,-0.13672605156898499,31.798484802246094,-5.8594967413228005e-05,0.0003,,
25,0,1,29.104154586791992,-0.03556786850094795,29.139793395996094,-7.043892401270568e-05,0.0003,,
26,0,1,28.520442962646484,-0.050025686621665955,28.570524215698242,-5.463120760396123e-05,0.0003,,
27,0,1,30.535598754882812,-0.16258426010608673,30.6982479095459,-6.537949957419187e-05,0.0003,,
28,0,1,29.078474044799805,-0.11994250118732452,29.198486328125,-6.979267345741391e-05,0.0003,,
29,0,1,33.743202209472656,-0.40809720754623413,34.15134811401367,-5.1252365665277466e-05,0.0003,,
30,0,1,26.702564239501953,0.024828892201185226,26.677783966064453,-4.8322806833311915e-05,0.0003,,
31,0,2,26.186918258666992,0.10935670137405396,26.07761001586914,-4.772169268107973e-05,0.0003,,
32,0,2,28.859180450439453,-0.0990280881524086,28.9582576751709,-4.8812235036166385e-05,0.0003,,
33,0,2,29.533855438232422,-0.1407804787158966,29.67469024658203,-5.342168515198864e-05,0.0003,,
34,0,2,29.40028953552246,-0.15034744143486023,29.550695419311523,-5.987608528812416e-05,0.0003,,
35,0,2,26.767547607421875,0.01462572067975998,26.75298500061035,-6.324544665403664e-05,0.0003,,
36,0,2,25.676958084106445,0.09336767345666885,25.583633422851562,-4.465105666895397e-05,0.0003,,
37,0,2,29.28765296936035,-0.13449974358081818,29.422191619873047,-3.762315463973209e-05,0.0003,,
38,0,2,27.14866828918457,-0.025681234896183014,27.174400329589844,-5.0927345000673085e-05,0.0003,,
39,0,2,26.39993667602539,0.02968686819076538,26.37030029296875,-5.003239493817091e-05,0.0003,,
40,0,2,30.61145782470703,-0.2890157401561737,30.900529861450195,-5.6504213716834784e-05,0.0003,,
41,0,2,27.463272094726562,-0.07302642613649368,27.536348342895508,-4.9334448704030365e-05,0.0003,,
42,0,2,23.952409744262695,0.1354483664035797,23.8170166015625,-5.48620882909745e-05,0.0003,,
43,0,2,26.206418991088867,0.05069898068904877,26.155763626098633,-4.3214851757511497e-05,0.0003,,
