global_step,frames,epoch,loss,loss_objective,loss_critic,loss_entropy,lr,reward,step_count
1,0,0,31.514219284057617,-0.10875852406024933,31.6230411529541,-6.2138082284946e-05,0.0003,,
2,0,0,31.436132431030273,-0.11664266884326935,31.552839279174805,-6.516625580843538e-05,0.0003,,
3,0,0,29.06852149963379,0.0650986060500145,29.003490447998047,-6.69073051540181e-05,0.0003,,
4,0,0,30.28486442565918,-0.04482380300760269,30.329757690429688,-6.785198638681322e-05,0.0003,,
5,0,0,31.155189514160156,-0.08991257101297379,31.24517250061035,-7.01367316651158e-05,0.0003,,
6,0,0,27.750707626342773,0.09485003352165222,27.655921936035156,-6.431157817132771e-05,0.0003,,
7,0,0,26.4714298248291,0.15354309976100922,26.317951202392578,-6.474372639786452e-05,0.0003,,
8,0,0,29.9477596282959,-0.035081639885902405,29.982908248901367,-6.671917799394578e-05,0.0003,,
9,0,0,28.286849975585938,0.012987283989787102,28.2739315032959,-6.795575609430671e-05,0.0003,,
10,0,0,31.435039520263672,-0.1777067482471466,31.612812042236328,-6.441455479944125e-05,0.0003,,
11,0,0,27.458518981933594,0.06884996592998505,27.389741897583008,-7.191525946836919e-05,0.0003,,
12,0,0,27.61469841003418,0.07128310948610306,27.543474197387695,-5.82675747864414e-05,0.0003,,
13,0,0,29.40794563293457,-0.047767143696546555,29.455772399902344,-5.949555634288117e-05,0.0003,,
14,0,0,26.969772338867188,0.0802072063088417,26.88962173461914,-5.700505789718591e-05,0.0003,,
15,0,0,29.066003799438477,-0.05419902876019478,29.12026023864746,-5.815776239614934e-05,0.0003,,
16,0,1,29.486520767211914,-0.11296755075454712,29.599557876586914,-6.823106377851218e-05,0.0003,,
17,0,1,27.90068817138672,-0.018428415060043335,27.919187545776367,-7.035833550617099e-05,0.0003,,
18,0,1,25.91425323486328,0.17941829562187195,25.734893798828125,-5.876828799955547e-05,0.0003,,
19,0,1,27.34828758239746,0.008041203022003174,27.34031105041504,-6.416478572646156e-05,0.0003,,
20,0,1,28.22269630432129,-0.017401741817593575,28.24016571044922,-6.6346961830277e-05,0.0003,,
21,0,1,30.116241455078125,-0.20186863839626312,30.31817054748535,-6.14473974565044e-05,0.0003,,
22,0,1,28.184738159179688,-0.07808628678321838,28.262889862060547,-6.468818173743784e-05,0.0003,,
23,0,1,30.113012313842773,-0.16923969984054565,30.28230857849121,-5.7180099247489125e-05,0.0003,,
24,0,1,29.286487579345703,-0.118730328977108,29.4052734375,-5.4700725740985945e-05,0.0003,,
25,0,1,28.80483627319336,-0.12650693953037262,28.93140983581543,-6.657110498053953e-05,0.0003,,
26,0,1,25.84502410888672,0.08767540752887726,25.757408142089844,-5.918652459513396e-05,0.0003,,
27,0,1,26.932384490966797,-0.0003377441316843033,26.932785034179688,-6.37333796476014e-05,0.0003,,
28,0,1,27.320831298828125,0.03553672134876251,27.285354614257812,-5.8426772739039734e-05,0.0003,,
29,0,1,28.92081642150879,-0.1484680324792862,29.06934928894043,-6.511314859380946e-05,0.0003,,
30,0,1,24.72169303894043,0.16655795276165009,24.555204391479492,-6.861612928332761e-05,0.0003,,
31,0,2,29.58901596069336,-0.17598672211170197,29.765060424804688,-5.761984721175395e-05,0.0003,,
32,0,2,26.09441566467285,0.0753004401922226,26.019184112548828,-6.861578731331974e-05,0.0003,,
33,0,2,29.758970260620117,-0.27056461572647095,30.029603958129883,-6.927635695319623e-05,0.0003,,
34,0,2,29.066558837890625,-0.19104182720184326,29.257667541503906,-6.620561907766387e-05,0.0003,,
35,0,2,25.520519256591797,0.09492194652557373,25.425661087036133,-6.231385486898944e-05,0.0003,,
36,0,2,27.588037490844727,-0.12805643677711487,27.716157913208008,-6.46590196993202e-05,0.0003,,
37,0,2,29.824199676513672,-0.28051722049713135,30.104780197143555,-6.251972808968276e-05,0.0003,,
38,0,2,24.02286720275879,0.17932191491127014,23.84360122680664,-5.488899478223175e-05,0.0003,,
39,0,2,23.845672607421875,0.15716446936130524,23.688573837280273,-6.433668022509664e-05,0.0003,,
40,0,2,26.137531280517578,0.024885617196559906,26.112699508666992,-5.435353523353115e-05,0.0003,,
41,0,2,24.194076538085938,0.1358514428138733,24.05828285217285,-5.675024658557959e-05,0.0003,,
42,0,2,25.074981689453125,0.10730753093957901,24.967735290527344,-6.0514536016853526e-05,0.0003,,
43,0,2,24.702091217041016,0.05081813409924507,24.65134048461914,-6.737873627571389e-05,0.0003,,
44,0,2,24.46860122680664,0.047567613422870636,24.42108917236328,-5.619505463982932e-05,0.0003,,
45,0,2,28.760622024536133,-0.19596806168556213,28.956645965576172,-5.4983029258437455e-05,0.0003,,
