step,reward,step_count,lr
1000,1.0,65,0.00029265847744427303
2000,1.0,89,0.0002713525491562421
3000,1.0,155,0.00023816778784387096
4000,1.0,162,0.0001963525491562421
5000,1.0,335,0.00015
6000,1.0,115,0.00029265847744427303
7000,1.0,98,0.0002713525491562421
8000,1.0,117,0.00023816778784387096
9000,1.0,157,0.0001963525491562421
10000,1.0,170,0.00015
11000,0.999000072479248,187,0.0001036474508437579
12000,1.0,248,6.183221215612905e-05
13000,1.0,353,2.86474508437579e-05
14000,1.0,365,7.341522555726971e-06
15000,1.0,499,0.0
