frame,reward_mean,step_count_max,lr
1000,9.086820602416992,13,0.00029265847744427303
2000,9.110196113586426,12,0.0002713525491562421
3000,9.145066261291504,14,0.00023816778784387096
4000,9.177261352539062,18,0.0001963525491562421
5000,9.20305347442627,19,0.00015
6000,9.217026710510254,25,0.0001036474508437579
7000,9.230408668518066,23,6.183221215612905e-05
8000,9.239602088928223,28,2.86474508437579e-05
9000,9.243171691894531,34,7.341522555726971e-06
10000,9.247386932373047,36,0.0
