step,reward,step_count,lr
1000,9.081923484802246,15,0.0002999814948722491
2000,9.117340087890625,11,0.0002999259840548597
3000,9.139257431030273,15,0.0002998334812442955
4000,9.173674583435059,22,0.0002997040092642407
5000,9.192822456359863,21,0.00029953760005996916
6000,9.225314140319824,39,0.000299334294690462
7000,9.228792190551758,37,0.00029909414331827697
8000,9.240506172180176,37,0.0002988172051971717
9000,9.254645347595215,43,0.00029850354865748363
10000,9.258915901184082,60,0.0002981532510892707
11000,9.251453399658203,47,0.0002977663989232161
12000,9.269340515136719,75,0.0002973430876093033
13000,9.283182144165039,121,0.00029688342159326487
14000,9.263847351074219,56,0.00029638751429081215
15000,9.24856185913086,50,0.0002958554880596515
16000,9.264575004577637,62,0.00029528747416929463
17000,9.25792407989502,48,0.0002946836127686697
18000,9.265840530395508,56,0.0002940440528515414
19000,9.251084327697754,35,0.00029336895221974946
20000,9.275327682495117,67,0.000292658477444273
21000,9.281224250793457,69,0.00029191280382413173
22000,9.28947639465332,93,0.00029113211534313374
23000,9.29781723022461,160,0.00029031660462448003
24000,9.298057556152344,101,0.0002894664728832376
25000,9.302266120910645,120,0.0002885819298766929
26000,9.308064460754395,111,0.000287663193852597
27000,9.31351375579834,114,0.00028671049149531664
28000,9.30327033996582,98,0.0002857240578699028
29000,9.305455207824707,93,0.00028470413636409215
30000,9.294550895690918,112,0.00028365097862825497
31000,9.295085906982422,66,0.00028256484451330387
32000,9.302056312561035,95,0.00028144600200657934
33000,9.301055908203125,70,0.0002802947271657285
34000,9.296558380126953,65,0.00027911130405059136
35000,9.298307418823242,101,0.00027789602465311367
36000,9.297150611877441,88,0.0002766491888253021
37000,9.291119575500488,89,0.00027537110420524036
38000,9.293816566467285,53,0.0002740620861411841
39000,9.29085922241211,52,0.00027272245761375335
40000,9.299681663513184,60,0.00027135254915624195
41000,9.303559303283691,79,0.00026995269877306345
42000,9.296222686767578,72,0.00026852325185635343
43000,9.295633316040039,124,0.0002670645611007493
44000,9.309510231018066,108,0.00026557698641636824
45000,9.310443878173828,111,0.0002640608948400045
46000,9.315084457397461,117,0.0002625166604445688
47000,9.309288024902344,102,0.0002609446642467913
48000,9.311408996582031,110,0.00025934529411321156
49000,9.312007904052734,190,0.0002577189446644782
50000,9.336867332458496,239,0.00025606601717798196
51000,9.323901176452637,205,0.000254386919488847
52000,9.328625679016113,220,0.0002526820658893032
53000,9.330183982849121,209,0.00025095187702646584
54000,9.329034805297852,179,0.0002491967797985476
55000,9.331460952758789,231,0.0002474172072495274
56000,9.329634666442871,249,0.00024561359846230325
57000,9.330982208251953,166,0.00024378639845035557
58000,9.335238456726074,306,0.00024193605804794627
59000,9.337183952331543,219,0.0002400630337988824
60000,9.327619552612305,238,0.00023816778784387077
61000,9.336324691772461,245,0.0002362507878064916
62000,9.326980590820312,252,0.0002343125066778194
63000,9.331859588623047,223,0.00023235342269971955
64000,9.329497337341309,222,0.00023037401924684925
65000,9.327244758605957,205,0.00022837478470739208
66000,9.328202247619629,176,0.00022635621236255545
67000,9.326229095458984,202,0.0002243188002648609
68000,9.319574356079102,167,0.00022226305111525704
69000,9.327661514282227,224,0.00022018947213908578
70000,9.332780838012695,263,0.00021809857496093177
71000,9.332625389099121,239,0.000215990875478387
72000,9.337239265441895,334,0.00021386689373476065
73000,9.335101127624512,449,0.00021172715379076608
74000,9.338383674621582,449,0.00020957218359521682
75000,9.334310531616211,421,0.00020740251485476324
76000,9.333168983459473,362,0.00020521868290270147
77000,9.346367835998535,730,0.00020302122656688833
78000,9.343138694763184,602,0.0002008106880367935
79000,9.349154472351074,661,0.0001985876127297222
80000,9.339103698730469,759,0.0001963525491562419
81000,9.339125633239746,362,0.00019410604878484537
82000,9.331570625305176,427,0.0001918486659058842
83000,9.32948112487793,207,0.0001895809574948057
84000,9.337101936340332,497,0.00018730348307472797
85000,9.347102165222168,999,0.0001850168045783856
86000,9.347160339355469,565,0.0001827214862094812
87000,9.330814361572266,999,0.0001804180943034767
88000,9.344593048095703,627,0.00017810719718785854
89000,9.352265357971191,999,0.00017578936504191123
90000,9.349151611328125,889,0.00017346516975603446
91000,9.355643272399902,998,0.00017113518479063724
