step,policy_loss,value_loss,entropy,episodic_return_mean,episodic_return_std,episodic_return_min,episodic_return_max,lr
4000,0.015544522998679896,0.021876739487051964,-0.00013067263978882692,-0.2628880739212036,0.8948984146118164,-4.619865894317627,0.8440468907356262,0.0003
8000,-0.0007370413272656151,0.044906834941357374,-0.00013113320383126848,0.08947549015283585,1.2105733156204224,-4.1303791999816895,1.4753265380859375,0.0003
12000,0.016678908102257993,0.07368195064365864,-0.00013069381078821606,0.19383810460567474,2.370243787765503,-10.55454158782959,2.479815721511841,0.0003
16000,0.007985846182564274,0.03042302920483053,-0.00012823944358387963,0.48359811305999756,0.9588022828102112,-3.5907068252563477,1.661288857460022,0.0003
20000,-0.023530799177533483,0.022584919147193433,-0.00012653917539864778,0.9052221179008484,0.6683819890022278,-1.8353142738342285,2.1161391735076904,0.0003
24000,-0.020621890661132056,0.0425245551392436,-0.0001236037658236455,0.9341769218444824,1.0638182163238525,-1.3238143920898438,2.982510566711426,0.0003
28000,0.005377841088520654,0.05765051007270813,-0.00012396176847687457,1.3754619359970093,0.9885260462760925,-2.3240416049957275,2.8886842727661133,0.0003
32000,0.0014894931495655329,0.05030390460044146,-0.00012296673594391905,1.4068599939346313,1.2106518745422363,-3.0835647583007812,3.5386617183685303,0.0003
36000,-0.018517737936490447,0.04748249404132366,-0.00012171515874797478,1.9078238010406494,0.5976519584655762,0.5060293078422546,3.0865976810455322,0.0003
40000,-0.013371985720586963,0.057519581951200965,-0.00012022261369565968,2.1491787433624268,0.7335107922554016,0.8555740118026733,3.805351495742798,0.0003
