step,reward,step_count,lr
1000,1.0,57,0.00029999925978027874
2000,1.0,68,0.00029999703912842054
3000,1.0,84,0.00029999333806634247
4000,1.0,161,0.00029998815663057245
5000,1.0,122,0.00029998149487224914
6000,0.999000072479248,256,0.00029997335285712143
7000,1.0,300,0.0002999637306655477
8000,1.0,311,0.000299952628392495
1000,1.0,379,0.0002999400461475385
2000,1.0,361,0.0002999259840548598
3000,1.0,499,0.000299910442253246
4000,1.0,499,0.00029989342089608846
5000,1.0,499,0.0002998749201513811
6000,1.0,499,0.00029985494020171884
7000,1.0,499,0.00029983348124429566
8000,1.0,499,0.0002998105434909028
9000,1.0,499,0.0002997861271679266
10000,1.0,499,0.0002997602325163464
10000,1.0,499,0.0002997328597917319
10000,1.0,499,0.0002997040092642408
10000,1.0,499,0.0002996736812186163
10000,1.0,499,0.0002996418759541838
10000,1.0,499,0.0002996085937848486
10000,1.0,499,0.0002995738350390921
10000,1.0,499,0.0002995376000599692
10000,1.0,499,0.00029949988920510446
10000,1.0,499,0.0002994607028466888
10000,1.0,499,0.00029942004137147586
10000,1.0,499,0.0002993779051807778
10000,1.0,499,0.0002993342946904619
10000,1.0,499,0.0002992892103309462
10000,1.0,499,0.00029924265254719496
10000,1.0,499,0.00029919462179871475
